dominant_topic,document_id,document_score
1,4327,1.0
1,4328,0.6377
0,4331,0.7638
1,4334,0.8319
0,4335,0.0
0,4336,0.4375
0,4338,1.0
1,4341,0.5858
4,4346,0.4134
1,4347,0.7271
4,4350,0.4716
4,4354,1.0
0,4358,0.7057
4,4369,0.0
1,4370,0.0
4,4371,0.7992
1,4372,1.0
1,4374,0.0
4,4375,0.5975
0,4377,0.6114
2,4379,0.6844
4,4380,0.567
1,4385,1.0
1,4393,0.0
0,4402,0.9023
0,4412,1.0
1,4418,1.0
1,4422,0.0
4,4429,0.4705
0,4430,0.0
1,4431,0.6425
1,4439,0.5649
0,4444,0.0
3,4446,1.0
4,4447,0.7975
4,4448,0.4076
1,4449,0.0
0,4462,0.6991
0,4464,0.5113
1,4465,0.0
0,4466,0.7729
0,4468,0.0
1,4470,0.0
0,4471,0.5809
2,4477,1.0
2,4478,1.0
4,4483,0.4511
1,4486,0.0
1,4490,1.0
4,4491,0.6307
1,4497,1.0
0,4499,0.0
4,4502,1.0
0,4503,1.0
2,4504,0.5789
3,4505,0.7209
1,4506,1.0
1,4507,0.6578
3,4508,0.9096
4,4509,1.0
0,4510,0.8349
2,4512,0.0
0,4518,1.0
1,4520,0.0
3,4523,0.779
0,4525,0.0
1,4531,0.7381
3,4533,1.0
1,4534,0.0
0,4542,1.0
4,4545,0.5749
0,4547,0.4728
1,4548,0.5242
2,4549,0.6045
1,4550,1.0
0,4552,0.5826
0,4554,0.791
4,4555,1.0
2,4567,0.0
0,4569,0.3482
0,4572,0.6424
1,4574,0.0
1,4576,1.0
0,4581,0.0
1,4589,0.0
4,4591,0.8714
4,4594,0.6009
0,4599,0.6517
0,4601,0.5113
4,4608,0.6051
1,4613,0.0
1,4617,0.0
2,4620,1.0
1,4621,0.0
1,4630,0.6568
1,4632,0.0
1,4633,0.0
0,4634,0.8171
4,4637,0.5957
2,4642,0.9202
1,4649,1.0
1,4656,0.0
4,4659,0.4422
2,4660,0.5706
1,4666,0.7667
1,4667,0.5185
1,4668,1.0
0,4670,0.4746
0,4677,0.0
1,4686,0.0
0,4687,0.6017
1,4688,0.0
1,4692,0.6163
2,4694,0.4316
1,4697,0.0
1,4698,1.0
2,4699,1.0
0,4702,1.0
0,4704,1.0
0,4705,0.0
1,4708,0.0
4,4711,1.0
1,4725,0.0
1,4729,1.0
4,4737,0.0
1,4743,1.0
0,4744,0.7593
1,4747,0.0
0,4759,0.0
2,4761,0.4378
2,4762,0.4754
0,4776,0.0
0,4777,1.0
1,4778,0.5009
0,4783,0.6577
0,4785,1.0
0,4795,0.594
3,4802,1.0
3,4803,1.0
0,4814,0.5046
3,4817,1.0
0,4819,0.5791
1,4820,0.0
1,4824,1.0
0,4830,0.6912
4,4839,0.9564
1,4841,0.0
0,4842,0.0
3,4843,1.0
4,4846,1.0
0,4848,0.6606
0,4858,0.0
1,4864,1.0
